Restaurent,Covid19 Status,Avg. no of customers per day,Running time,CHICKEN Grill,CHICKEN Curry,CHICKEN Korai,BEEF Curry ,BEEF Kebab,BEEF Korai,MUTTON Curry ,MUTTON Kebab,MUTTON Korai,FISH Curry,FISH Fry,VEGETABLE Regular,SOUP Vegetable,SOUP Chicken,SOUP Thai,PARATA Regular,NAAN Regular,BIRIYANI CHICKEN,BIRIYANI MUTTON,CHINESE In general,FAST FOODS Generic,SALAD Generic,FRUIT JUICE Generic,TEA Generic,COFFEE Generic,SOFT DRINKS Generic
Restaurent 1,Before covid19,1000,6AM 12AM,100,30,10,25,5,10,10,0,0,25,5,40,800,150,70,20,60,80,500,150,300,0,0,700,0,0
,during covid19,0,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 1,after covid19,700,7AM 11PM,80,25,8,15,1,3,6,0,0,27,2,50,600,100,50,15,90,100,500,200,220,0,0,450,0,0
Restaurent 2,Before covid19,600,6 AM-12AM,50,20,6,10,2,5,5,0,2,12,0,25,300,100,40,10,25,45,300,100,120,0,20,90,25,65
,during covid19,0,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 2,after covid19,450,12PM-12AM,28,20,3,7,0,2,2,0,0,15,0,35,250,75,25,5,40,60,250,80,95,0,7,40,11,27
Restaurent 3,Before covid19,75000%,6AM-12AM,80,20,10,15,0,5,8,0,3,18,0,25,350,90,45,10,30,50,300,100,150,0,10,100,10,44
,during covid19,0,0FF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 3,after covid19,60000%,7AM-11PM,60,25,7,12,0,4,4,0,2,20,0,35,300,60,30,5,50,70,350,70,100,0,3,120,15,24
Restaurent 4,Before covid19,2000,5AM-12PM,250,150,20,25,5,5,10,0,5,35,5,50,1300,150,100,20,20,100,600,100,550,0,120,300,0,250
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 4,after covid19,1800,5AM-12PM,200,170,10,18,2,4,8,0,3,38,2,65,1100,110,80,10,35,135,550,150,320,0,100,300,0,200
Restaurent 5,Before covid19,1200,5AM-12PM,150,150,15,50,5,6,8,0,2,40,5,45,800,100,80,15,30,80,500,80,400,0,130,430,50,140
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 5,after covid19,850,5AM-12PM,120,155,10,30,2,2,4,0,2,45,4,55,700,80,60,8,45,110,450,120,300,0,75,225,25,95
Restaurent 6,Before covid19,800,5AM-12PM,90,70,5,20,0,5,5,0,0,20,0,30,400,80,50,10,25,0,300,100,230,0,85,370,0,25
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 6,after covid19,700,5AM-12PM,75,75,5,12,0,2,2,0,0,25,0,40,250,70,35,6,40,0,300,80,150,0,55,330,0,10
Restaurent 7,Before covid19,900,6AM 12AM,110,80,5,15,0,3,7,0,0,22,0,32,140,166,60,8,40,0,400,50,150,0,90,520,0,15
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 7,after covid19,850,7AM 11PM,80,95,2,8,0,1,4,0,0,25,0,38,76,91,40,3,55,0,370,60,100,0,61,500,0,10
Restaurent 8,Before covid19,1250,6AM 12AM,200,170,50,20,4,5,10,0,5,25,4,45,800,100,80,15,45,80,600,100,500,0,170,523,50,34
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 8,after covid19,1100,7AM 11PM,180,170,20,10,2,3,8,0,3,32,1,60,650,80,55,10,70,100,620,80,340,0,130,430,34,23
Restaurent 9,Before covid19,800,6AM 12AM,100,100,10,15,2,5,5,0,0,20,0,30,450,80,40,5,20,0,350,50,200,0,230,401,100,43
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 9,after covid19,750,7AM 11PM,80,90,4,10,0,3,4,0,0,26,0,35,350,60,25,3,30,0,370,70,150,0,154,390,34,23
Restaurent 10,Before covid19,900,6AM 12AM,120,80,0,15,0,5,7,0,0,20,0,30,500,80,60,8,25,0,400,50,450,0,201,345,56,24
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 10,after covid19,800,7AM 11PM,100,90,0,12,0,4,5,0,0,25,0,37,350,50,35,5,40,0,380,70,350,0,154,320,43,19
Restaurent 11,Before covid19,1200,6AM 12AM,210,120,15,25,5,7,10,0,3,28,0,40,800,100,80,15,40,0,700,100,450,0,178,378,67,60
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 11,after covid19,1100,7AM 11PM,170,150,10,20,2,3,5,0,0,31,0,50,650,80,60,8,70,0,650,80,300,0,143,363,34,32
Restaurent 12,Before covid19,700,6AM 12AM,80,50,5,15,2,5,8,0,0,15,0,25,400,70,35,8,25,0,300,70,150,0,234,430,88,65
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 12,after covid19,500,7AM 11PM,70,65,2,10,1,2,4,0,0,20,0,32,300,50,25,5,40,0,350,100,80,0,121,378,54,20
Restaurent 13,Before covid19,700,6 AM-12AM,100,80,5,15,5,3,5,0,0,17,0,25,350,60,30,10,30,0,350,50,200,0,189,501,45,56
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 13,after covid19,500,7AM-11PM,100,85,2,12,2,3,2,0,0,22,0,30,280,40,25,6,40,0,350,60,140,0,123,320,24,43
Restaurent 14,Before covid19,1200,6 AM-12AM,250,150,25,25,5,7,12,0,6,30,5,38,750,100,80,15,45,70,600,50,450,0,154,760,67,98
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 14,after covid19,850,7AM-11PM,170,200,5,16,2,3,5,0,2,32,3,45,600,60,70,10,70,95,650,70,300,0,98,680,44,45
Restaurent 15,Before covid19,1500,6 AM-12AM,250,100,20,30,5,7,10,0,5,30,6,50,900,150,100,20,50,70,700,150,680,0,154,820,120,120
,during covid19,,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurent 15,after covid19,1100,7AM-11PM,190,140,10,15,2,2,6,0,3,33,2,65,700,100,70,10,70,90,750,200,400,0,101,650,76,64
